ParticipantID,Age,Location,DietType,LocalFoodFrequency,TransportationMode,EnergySource,HomeType,HomeSize,ClothingFrequency,SustainableBrands,EnvironmentalAwareness,CommunityInvolvement,MonthlyElectricityConsumption,MonthlyWaterConsumption,Gender,UsingPlasticProducts,DisposalMethods,PhysicalActivities,Rating
71,40,Suburban,Balanced,Often,Public Transit,Renewable,House,1680,Sometimes,True,4,Moderate,215,2850,Female,Sometimes,Recycling,Moderate,4
72,53,Rural,Mostly Plant-Based,Sometimes,Walk,Mixed,House,1960,Often,True,3,Moderate,355,4050,Male,Rarely,Combination,Moderate,4
73,34,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2080,Always,False,2,Low,390,4400,Male,Often,Landfill,None,1
74,45,Suburban,Mostly Plant-Based,Often,Walk,Renewable,Apartment,990,Rarely,True,4,High,145,1950,Female,Never,Composting,High,5
75,28,Urban,Balanced,Sometimes,Public Transit,Mixed,House,1530,Often,True,3,Moderate,295,3500,Male,Sometimes,Recycling,Moderate,3
76,60,Rural,Mostly Plant-Based,Sometimes,Bike,Mixed,House,1880,Often,True,3,Moderate,335,3950,Female,Rarely,Combination,Moderate,4
77,24,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Apartment,1110,Always,False,2,Low,375,4250,Male,Often,Landfill,Low,1
78,41,Suburban,Balanced,Often,Public Transit,Renewable,House,1630,Sometimes,True,4,Moderate,225,2950,Non-Binary,Sometimes,Recycling,Moderate,4
79,57,Rural,Mostly Plant-Based,Sometimes,Walk,Renewable,Other,710,Rarely,True,4,Moderate,175,2550,Female,Never,Composting,High,5
80,32,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2150,Often,False,2,None,405,4650,Prefer not to say,Often,Landfill,None,1
81,49,Suburban,Mostly Plant-Based,Often,Bike,Renewable,Apartment,1010,Sometimes,True,5,High,125,1850,Male,Rarely,Composting,High,5
82,36,Urban,Balanced,Sometimes,Public Transit,Mixed,House,1570,Often,False,3,Low,305,3550,Female,Sometimes,Recycling,Moderate,3
83,61,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,770,Always,False,1,None,445,4950,Male,Often,Landfill,None,1
84,27,Urban,Mostly Plant-Based,Always,Walk,Renewable,House,1320,Rarely,True,4,Moderate,165,2250,Female,Never,Composting,High,5
85,44,Suburban,Balanced,Often,Public Transit,Renewable,Apartment,1060,Sometimes,True,4,High,235,3050,Female,Sometimes,Recycling,Moderate,4
86,58,Rural,Mostly Plant-Based,Sometimes,Bike,Mixed,House,1870,Often,True,3,Low,325,3850,Male,Rarely,Combination,Low,3
87,31,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,655,Always,False,2,None,405,4550,Non-Binary,Often,Landfill,None,1
88,48,Suburban,Mostly Plant-Based,Often,Walk,Renewable,House,1430,Sometimes,True,5,High,155,2000,Male,Rarely,Composting,High,5
89,35,Urban,Balanced,Sometimes,Public Transit,Mixed,Apartment,940,Often,True,3,Moderate,285,3450,Male,Sometimes,Recycling,Moderate,3
90,62,Rural,Mostly Plant-Based,Often,Walk,Renewable,House,1820,Sometimes,True,4,High,205,2850,Female,Rarely,Recycling,High,5
91,22,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Apartment,1120,Often,False,2,None,365,4150,Male,Often,Landfill,None,1
92,40,Suburban,Balanced,Sometimes,Bike,Mixed,House,1470,Sometimes,True,3,Moderate,315,3650,Non-Binary,Rarely,Combination,Moderate,3
93,55,Rural,Mostly Plant-Based,Often,Walk,Renewable,Other,715,Rarely,True,4,High,185,2650,Female,Never,Composting,High,5
94,33,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2180,Often,False,2,Low,425,4750,Male,Often,Landfill,Low,1
95,46,Suburban,Mostly Plant-Based,Often,Public Transit,Renewable,Apartment,1030,Sometimes,True,4,Moderate,245,3150,Prefer not to say,Sometimes,Recycling,Moderate,4
96,29,Urban,Balanced,Sometimes,Bike,Mixed,House,1520,Sometimes,True,3,Low,320,3700,Female,Rarely,Combination,Moderate,3
97,56,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,755,Often,False,1,None,440,4900,Male,Often,Landfill,None,1
98,23,Urban,Mostly Plant-Based,Always,Walk,Renewable,House,1270,Rarely,True,5,High,105,1500,Female,Never,Composting,High,5
99,40,Suburban,Balanced,Often,Public Transit,Renewable,Apartment,1090,Sometimes,True,4,Moderate,250,3200,Female,Sometimes,Recycling,Moderate,4
100,53,Rural,Mostly Plant-Based,Sometimes,Bike,Mixed,House,1940,Often,True,3,Low,345,3950,Male,Rarely,Combination,Low,3
101,38,Urban,Mostly Plant-Based,Often,Walk,Renewable,House,1380,Rarely,True,4,Moderate,180,2300,Female,Never,Composting,High,5
102,25,Suburban,Balanced,Sometimes,Public Transit,Mixed,Apartment,980,Sometimes,False,3,Low,295,3450,Male,Sometimes,Recycling,Moderate,3
103,60,Rural,Mostly Plant-Based,Sometimes,Bike,Mixed,House,1920,Often,True,3,Moderate,340,3900,Female,Rarely,Combination,Moderate,4
104,29,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,690,Always,False,2,None,420,4800,Prefer not to say,Often,Landfill,None,1
105,47,Suburban,Mostly Plant-Based,Often,Public Transit,Renewable,House,1580,Sometimes,True,4,High,210,2800,Male,Rarely,Recycling,High,5
106,34,Urban,Balanced,Sometimes,Bike,Mixed,Apartment,960,Often,True,3,Low,285,3350,Female,Sometimes,Combination,Moderate,3
107,59,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2280,Always,False,1,None,465,5150,Male,Often,Landfill,None,1
108,26,Urban,Mostly Plant-Based,Always,Walk,Renewable,Other,630,Rarely,True,5,High,105,1550,Female,Never,Composting,High,5
109,43,Suburban,Balanced,Often,Public Transit,Renewable,House,1660,Sometimes,True,4,Moderate,225,2950,Female,Sometimes,Recycling,Moderate,4
110,56,Rural,Mostly Plant-Based,Sometimes,Walk,Mixed,House,1990,Often,True,3,Moderate,365,4150,Male,Rarely,Combination,Moderate,4
111,31,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Apartment,1140,Always,False,2,None,385,4350,Non-Binary,Often,Landfill,None,1
112,48,Suburban,Mostly Plant-Based,Often,Bike,Renewable,House,1390,Sometimes,True,4,High,145,1950,Male,Rarely,Composting,High,5
113,35,Urban,Balanced,Sometimes,Public Transit,Mixed,Apartment,970,Often,False,3,Low,295,3400,Female,Sometimes,Recycling,Moderate,3
114,60,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,765,Always,False,1,None,435,4900,Male,Often,Landfill,None,1
115,27,Urban,Mostly Plant-Based,Always,Walk,Renewable,House,1310,Rarely,True,5,High,115,1650,Female,Never,Composting,High,5
116,44,Suburban,Balanced,Often,Public Transit,Renewable,Apartment,1090,Sometimes,True,4,Moderate,240,3000,Male,Sometimes,Recycling,Moderate,4
117,59,Rural,Mostly Plant-Based,Sometimes,Bike,Mixed,House,1860,Often,True,3,Low,330,3800,Female,Rarely,Combination,Low,3
118,32,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,665,Always,False,2,None,415,4650,Male,Often,Landfill,None,1
119,49,Suburban,Mostly Plant-Based,Often,Walk,Renewable,House,1440,Rarely,True,5,High,135,1900,Female,Never,Composting,High,5
120,36,Urban,Balanced,Sometimes,Public Transit,Mixed,Apartment,950,Often,True,3,Low,280,3300,Male,Sometimes,Recycling,Moderate,3
121,61,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2290,Always,False,1,None,475,5250,Non-Binary,Often,Landfill,None,1
122,28,Urban,Mostly Plant-Based,Always,Bike,Renewable,Other,640,Rarely,True,5,High,100,1450,Female,Never,Composting,High,5
123,45,Suburban,Balanced,Often,Public Transit,Renewable,House,1690,Sometimes,True,4,Moderate,220,2900,Female,Sometimes,Recycling,Moderate,4
124,58,Rural,Mostly Plant-Based,Sometimes,Walk,Mixed,House,1970,Often,True,3,Low,355,4000,Male,Rarely,Combination,Low,3
125,31,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Apartment,1150,Always,False,2,None,395,4450,Male,Often,Landfill,None,1
126,42,Urban,Mostly Plant-Based,Often,Walk,Renewable,House,1360,Rarely,True,4,Moderate,190,2400,Female,Never,Composting,High,5
127,27,Suburban,Balanced,Sometimes,Public Transit,Mixed,Apartment,990,Sometimes,True,3,Low,300,3500,Male,Sometimes,Recycling,Moderate,3
128,59,Rural,Mostly Plant-Based,Sometimes,Bike,Mixed,House,1910,Often,True,3,Moderate,335,3850,Female,Rarely,Combination,Moderate,4
129,32,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,680,Always,False,2,None,415,4750,Prefer not to say,Often,Landfill,None,1
130,48,Suburban,Mostly Plant-Based,Often,Public Transit,Renewable,House,1590,Sometimes,True,4,High,215,2850,Male,Rarely,Recycling,High,5
131,35,Urban,Balanced,Sometimes,Bike,Mixed,Apartment,975,Often,False,3,Low,290,3400,Female,Sometimes,Combination,Moderate,3
132,60,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2295,Always,False,1,None,470,5200,Male,Often,Landfill,None,1
133,26,Urban,Mostly Plant-Based,Always,Walk,Renewable,Other,625,Rarely,True,5,High,100,1450,Female,Never,Composting,High,5
134,43,Suburban,Balanced,Often,Public Transit,Renewable,House,1670,Sometimes,True,4,Moderate,230,2950,Female,Sometimes,Recycling,Moderate,4
135,56,Rural,Mostly Plant-Based,Sometimes,Walk,Mixed,House,2000,Often,True,3,Moderate,360,4100,Male,Rarely,Combination,Moderate,4
136,31,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Apartment,1135,Always,False,2,None,380,4300,Non-Binary,Often,Landfill,None,1
137,48,Suburban,Mostly Plant-Based,Often,Bike,Renewable,House,1380,Rarely,True,4,High,140,1900,Female,Never,Composting,High,5
138,35,Urban,Balanced,Sometimes,Public Transit,Mixed,Apartment,965,Often,True,3,Low,295,3450,Male,Sometimes,Recycling,Moderate,3
139,60,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,775,Always,False,1,None,440,4950,Male,Often,Landfill,None,1
140,27,Urban,Mostly Plant-Based,Always,Walk,Renewable,House,1305,Rarely,True,5,High,110,1600,Female,Never,Composting,High,5
141,44,Suburban,Balanced,Often,Public Transit,Renewable,Apartment,1080,Sometimes,True,4,Moderate,235,3050,Male,Sometimes,Recycling,Moderate,4
142,59,Rural,Mostly Plant-Based,Sometimes,Bike,Mixed,House,1890,Often,True,3,Low,335,3950,Female,Rarely,Combination,Low,3
143,32,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,675,Always,False,2,None,410,4600,Male,Often,Landfill,None,1
144,49,Suburban,Mostly Plant-Based,Often,Walk,Renewable,House,1470,Rarely,True,4,High,155,2050,Female,Never,Composting,High,5
145,36,Urban,Balanced,Sometimes,Public Transit,Mixed,Apartment,985,Often,True,3,Moderate,290,3400,Male,Sometimes,Recycling,Moderate,3
146,61,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2310,Always,False,1,None,470,5200,Non-Binary,Often,Landfill,None,1
147,28,Urban,Mostly Plant-Based,Always,Bike,Renewable,Other,635,Rarely,True,5,High,95,1350,Female,Never,Composting,High,5
148,45,Suburban,Balanced,Often,Public Transit,Renewable,House,1685,Sometimes,True,4,Moderate,225,2950,Female,Sometimes,Recycling,Moderate,4
149,58,Rural,Mostly Plant-Based,Sometimes,Walk,Mixed,House,1995,Often,True,3,Low,360,4100,Male,Rarely,Combination,Low,3
150,31,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Apartment,1145,Always,False,2,None,385,4350,Male,Often,Landfill,None,1
151,40,Urban,Mostly Plant-Based,Often,Bike,Renewable,House,1370,Rarely,True,4,Moderate,185,2350,Male,Never,Composting,High,5
152,26,Suburban,Balanced,Sometimes,Public Transit,Mixed,Apartment,985,Sometimes,True,3,Low,305,3550,Female,Sometimes,Recycling,Moderate,3
153,59,Rural,Mostly Plant-Based,Sometimes,Bike,Mixed,House,1900,Often,True,3,Moderate,340,3900,Non-Binary,Rarely,Combination,Moderate,4
154,33,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,695,Always,False,2,None,425,4850,Male,Often,Landfill,None,1
155,47,Suburban,Mostly Plant-Based,Often,Public Transit,Renewable,House,1570,Sometimes,True,4,High,205,2850,Female,Rarely,Recycling,High,5
156,34,Urban,Balanced,Sometimes,Bike,Mixed,Apartment,965,Often,True,3,Low,290,3450,Male,Sometimes,Combination,Moderate,3
157,59,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2305,Always,False,1,None,460,5100,Prefer not to say,Often,Landfill,None,1
158,26,Urban,Mostly Plant-Based,Always,Walk,Renewable,Other,635,Rarely,True,5,High,105,1500,Female,Never,Composting,High,5
159,43,Suburban,Balanced,Often,Public Transit,Renewable,House,1655,Sometimes,True,4,Moderate,235,3000,Male,Sometimes,Recycling,Moderate,4
160,56,Rural,Mostly Plant-Based,Sometimes,Walk,Mixed,House,1980,Often,True,3,Low,360,4050,Female,Rarely,Combination,Low,3
161,31,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Apartment,1140,Always,False,2,None,385,4350,Male,Often,Landfill,None,1
162,48,Suburban,Mostly Plant-Based,Often,Bike,Renewable,House,1395,Rarely,True,4,High,140,1950,Female,Never,Composting,High,5
163,35,Urban,Balanced,Sometimes,Public Transit,Mixed,Apartment,975,Often,False,3,Low,295,3450,Male,Sometimes,Recycling,Moderate,3
164,60,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,770,Always,False,1,None,440,4950,Male,Often,Landfill,None,1
165,27,Urban,Mostly Plant-Based,Always,Walk,Renewable,House,1315,Rarely,True,5,High,110,1650,Female,Never,Composting,High,5
166,44,Suburban,Balanced,Often,Public Transit,Renewable,Apartment,1085,Sometimes,True,4,Moderate,240,3050,Prefer not to say,Sometimes,Recycling,Moderate,4
167,59,Rural,Mostly Plant-Based,Sometimes,Bike,Mixed,House,1895,Often,True,3,Low,330,3850,Female,Rarely,Combination,Low,3
168,32,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,670,Always,False,2,None,415,4600,Male,Often,Landfill,None,1
169,49,Suburban,Mostly Plant-Based,Often,Walk,Renewable,House,1460,Rarely,True,5,High,150,2000,Female,Never,Composting,High,5
170,36,Urban,Balanced,Sometimes,Public Transit,Mixed,Apartment,980,Often,True,3,Low,285,3350,Male,Sometimes,Recycling,Moderate,3
171,61,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2300,Always,False,1,None,470,5200,Non-Binary,Often,Landfill,None,1
172,28,Urban,Mostly Plant-Based,Always,Bike,Renewable,Other,640,Rarely,True,5,High,95,1300,Female,Never,Composting,High,5
173,45,Suburban,Balanced,Often,Public Transit,Renewable,House,1695,Sometimes,True,4,Moderate,220,2900,Female,Sometimes,Recycling,Moderate,4
174,58,Rural,Mostly Plant-Based,Sometimes,Walk,Mixed,House,1965,Often,True,3,Moderate,350,4000,Male,Rarely,Combination,Moderate,4
175,31,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Apartment,1155,Always,False,2,None,390,4400,Male,Often,Landfill,None,1
176,41,Urban,Mostly Plant-Based,Often,Walk,Renewable,Apartment,1020,Sometimes,True,4,Moderate,195,2450,Female,Never,Composting,High,5
177,26,Suburban,Balanced,Sometimes,Public Transit,Mixed,House,1540,Often,True,3,Low,305,3550,Male,Sometimes,Recycling,Moderate,3
178,59,Rural,Mostly Plant-Based,Sometimes,Bike,Mixed,House,1915,Often,True,3,Low,345,3950,Female,Rarely,Combination,Low,3
179,32,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,685,Always,False,2,None,420,4800,Male,Often,Landfill,None,1
180,48,Suburban,Mostly Plant-Based,Often,Public Transit,Renewable,House,1585,Sometimes,True,4,High,210,2800,Female,Rarely,Recycling,High,5
181,35,Urban,Balanced,Sometimes,Bike,Mixed,Apartment,970,Often,True,3,Low,295,3450,Male,Sometimes,Combination,Moderate,3
182,60,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,House,2315,Always,False,1,None,465,5150,Prefer not to say,Often,Landfill,None,1
183,26,Urban,Mostly Plant-Based,Always,Walk,Renewable,Other,630,Rarely,True,5,High,100,1400,Female,Never,Composting,High,5
184,43,Suburban,Balanced,Often,Public Transit,Renewable,House,1665,Sometimes,True,4,Moderate,230,2900,Female,Sometimes,Recycling,Moderate,4
185,56,Rural,Mostly Plant-Based,Sometimes,Walk,Mixed,House,1995,Often,True,3,Moderate,355,4050,Male,Rarely,Combination,Moderate,4
186,31,Urban,Mostly Animal-Based,Rarely,Car,Non-Renewable,Apartment,1145,Always,False,2,None,385,4350,Non-Binary,Often,Landfill,None,1
187,48,Suburban,Mostly Plant-Based,Often,Bike,Renewable,House,1395,Rarely,True,4,High,145,1950,Female,Never,Composting,High,5
188,35,Urban,Balanced,Sometimes,Public Transit,Mixed,Apartment,975,Often,False,3,Low,290,3400,Male,Sometimes,Recycling,Moderate,3
189,60,Rural,Mostly Animal-Based,Rarely,Car,Non-Renewable,Other,760,Always,False,1,None,445,4950,Male,Often,Landfill,None,1
190,27,Urban,Mostly Plant-Based,Always,Walk,Renewable,House,1310,Rarely,True,5,High,110,1600,Female,Never,Composting,High,5
